File,Original Size,Optimized Size,Savings,Reduction %,Original Dimensions,Status
villas\gordes\DSC06316(1)WEB.jpg,491.03 KB,30.62 KB,460.42 KB,93.8%,1009x673,✅ Success
villas\gordes\DSC06309WEB.jpg,468.22 KB,40.03 KB,428.20 KB,91.5%,978x652,✅ Success
villas\gordes\DSC06287WEB.jpg,474.43 KB,48.68 KB,425.75 KB,89.7%,1200x800,✅ Success
villas\gordes\DSC06246WEB.jpg,484.19 KB,56.13 KB,428.06 KB,88.4%,1115x738,✅ Success
villas\gordes\DSC06229WEB.jpg,479.25 KB,61.80 KB,417.44 KB,87.1%,1038x692,✅ Success
villas\monstera\toilet-KB-4WEB.jpg,479.74 KB,124.01 KB,355.73 KB,74.2%,639x959,✅ Success
villas\monstera\AWB_4236.WEB.jpg,397.76 KB,49.57 KB,348.19 KB,87.5%,907x603,✅ Success
villas\monstera\AWB_4184WEB.jpg,423.39 KB,57.10 KB,366.29 KB,86.5%,916x515,✅ Success
villas\monstera\AWB_4180WEB.jpg,441.42 KB,55.30 KB,386.13 KB,87.5%,902x600,✅ Success
villas\monstera\AWB_4177WEB.jpg,491.98 KB,51.01 KB,440.96 KB,89.6%,1002x667,✅ Success
villas\monstera\AWB_4168WEB.jpg,492.77 KB,46.38 KB,446.40 KB,90.6%,1081x719,✅ Success
villas\monstera\AWB_4162WEB.jpg,489.78 KB,74.49 KB,415.29 KB,84.8%,988x556,✅ Success
villas\monstera\4.-Bedroom-ViewWEB.jpg,492.18 KB,55.71 KB,436.47 KB,88.7%,1028x684,✅ Success
villas\forest-house\hero.jpg,466.54 KB,134.59 KB,331.96 KB,71.2%,900x600,✅ Success
villas\forest-house\DSC09977.WEB.jpg,500.69 KB,78.82 KB,421.88 KB,84.3%,1237x825,✅ Success
villas\forest-house\DSC09885WEB.jpg,443.27 KB,79.06 KB,364.21 KB,82.2%,1302x868,✅ Success
villas\forest-house\DSC09744WEB.jpg,489.25 KB,93.77 KB,395.49 KB,80.8%,1200x800,✅ Success
villas\forest-house\DSC09718WEB.jpg,503.62 KB,90.78 KB,412.85 KB,82.0%,1195x797,✅ Success
villas\forest-house\DSC08988WEB.jpg,711.88 KB,201.50 KB,510.38 KB,71.7%,1200x800,✅ Success
villas\forest-house\DSC00370WEB.jpg,14.03 MB,239.19 KB,13.79 MB,98.3%,6000x4000,✅ Success
villas\forest-house\DSC00322WEB.jpg,466.54 KB,134.59 KB,331.96 KB,71.2%,900x600,✅ Success
villas\forest-house\DSC00110---CopyWEB.jpg,291.23 KB,59.44 KB,231.79 KB,79.6%,887x591,✅ Success
villas\emerald-01\hero.jpg,510.83 KB,129.88 KB,380.95 KB,74.6%,900x600,✅ Success
villas\emerald-01\DSC04918.WEB.jpg,528.01 KB,136.47 KB,391.55 KB,74.2%,900x600,✅ Success
villas\emerald-01\DSC04902WEB.jpg,510.83 KB,129.88 KB,380.95 KB,74.6%,900x600,✅ Success
villas\emerald-01\DSC04416WEB.jpg,499.69 KB,102.47 KB,397.22 KB,79.5%,1125x750,✅ Success
villas\emerald-01\DSC04218WEB.jpg,533.62 KB,100.04 KB,433.58 KB,81.3%,1125x750,✅ Success
villas\emerald-01\DSC04186WEB.jpg,477.39 KB,63.88 KB,413.51 KB,86.6%,840x560,✅ Success
